date,description,amount,category,notes
2023-01-01,AMAZON MKTPLACE,49.99,Shopping,Online purchase
2023-01-02,UBER TRIP,15.50,Transportation,Work commute
2023-01-03,NETFLIX.COM,14.99,Subscriptions,Monthly subscription
2023-01-04,TRADER JOE'S,85.23,Groceries,Weekly groceries
2023-01-05,COMCAST CABLE,79.99,Utilities,Internet bill
2023-01-06,CVS PHARMACY,32.45,Healthcare,Prescription
2023-01-07,SHELL OIL,45.00,Transportation,Gas fill-up
2023-01-08,AMC THEATERS,24.50,Entertainment,Movie night
2023-01-09,AIRBNB,125.00,Travel,Weekend getaway
2023-01-10,SALARY DEPOSIT,4500.00,Income,Monthly salary
2023-01-11,WHOLE FOODS MARKET,92.34,Groceries,Organic groceries
2023-01-12,STATE FARM INSURANCE,120.00,Insurance,Car insurance
2023-01-13,GREAT CLIPS,25.00,Personal Care,Haircut
2023-01-14,RED CROSS DONATION,50.00,Gifts & Donations,Monthly donation
2023-01-15,ROBINHOOD INVESTMENT,500.00,Investments,Stock purchase
2023-01-16,SPOTIFY PREMIUM,9.99,Subscriptions,Music subscription
2023-01-17,IRS TAX PAYMENT,1200.00,Taxes,Quarterly taxes
2023-01-18,OFFICE DEPOT,45.67,Business Expenses,Office supplies
2023-01-19,BANK ATM FEE,3.00,Fees & Charges,ATM withdrawal
2023-01-20,COSTCO WHOLESALE,150.89,Groceries,Bulk shopping
2023-01-21,GEICO AUTO INSURANCE,85.00,Insurance,Car insurance
2023-01-22,SPA TREATMENT,75.00,Personal Care,Massage
2023-01-23,UNICEF DONATION,25.00,Gifts & Donations,Charity
2023-01-24,ETRADE INVESTMENT,1000.00,Investments,Stock investment
2023-01-25,DISNEY+ SUBSCRIPTION,7.99,Subscriptions,Streaming service
2023-01-26,STATE TAX PAYMENT,450.00,Taxes,State taxes
2023-01-27,STAPLES OFFICE SUPPLIES,89.99,Business Expenses,Printer ink
2023-01-28,CREDIT CARD FEE,15.00,Fees & Charges,Annual fee
2023-01-29,AMAZON PRIME,12.99,Subscriptions,Prime membership
2023-01-30,LYFT RIDE,18.75,Transportation,Airport ride
2023-01-31,APPLE MUSIC,9.99,Subscriptions,Music service
2023-02-01,AMAZON MKTPLACE,75.45,Shopping,Electronics
2023-02-02,UBER EATS,32.50,Food & Dining,Food delivery
2023-02-03,HULU,6.99,Subscriptions,Streaming service
2023-02-04,SAFEWAY,65.78,Groceries,Weekly shopping
2023-02-05,PG&E,85.45,Utilities,Electric bill
