id,date,amount,category,description,payment_method
1,2023-01-01,75.50,Groceries,Bi-weekly grocery shopping,Debit
2,2023-01-01,1200.00,Housing,Monthly rent payment,Bank Transfer
3,2023-01-03,43.49,Dining,Restaurant meal,Credit
4,2023-01-05,14.99,Entertainment,Netflix subscription,Credit
5,2023-01-05,33.04,Transportation,Gas refill,Debit
6,2023-01-07,39.08,Dining,Restaurant meal,Credit
7,2023-01-10,9.99,Entertainment,Music streaming,Credit
8,2023-01-12,33.35,Transportation,Gas refill,Debit
9,2023-01-12,125.00,Healthcare,Doctor visit copay,Credit
10,2023-01-15,168.00,Utilities,Quarterly utility bill,Bank Transfer
11,2023-01-15,75.88,Groceries,Bi-weekly grocery shopping,Debit
12,2023-01-18,49.55,Dining,Restaurant meal,Credit
13,2023-01-19,33.60,Transportation,Gas refill,Debit
14,2023-01-20,85.50,Utilities,Internet and phone,Bank Transfer
15,2023-01-22,56.73,Dining,Restaurant meal,Credit
16,2023-01-23,52.39,Shopping,Retail purchases,Credit
17,2023-01-26,41.26,Transportation,Gas refill,Debit
18,2023-01-29,76.26,Groceries,Bi-weekly grocery shopping,Debit
19,2023-02-01,1200.00,Housing,Monthly rent payment,Bank Transfer
20,2023-02-02,34.71,Transportation,Gas refill,Debit
21,2023-02-03,57.95,Dining,Restaurant meal,Credit
22,2023-02-05,14.99,Entertainment,Netflix subscription,Credit
23,2023-02-07,64.68,Dining,Restaurant meal,Credit
24,2023-02-09,42.99,Transportation,Gas refill,Debit
25,2023-02-10,9.99,Entertainment,Music streaming,Credit
26,2023-02-12,76.64,Groceries,Bi-weekly grocery shopping,Debit
27,2023-02-12,125.00,Healthcare,Doctor visit copay,Credit
28,2023-02-15,133.33,Shopping,Retail purchases,Credit
29,2023-02-16,33.23,Transportation,Gas refill,Debit
30,2023-02-17,63.62,Dining,Restaurant meal,Credit
31,2023-02-20,85.50,Utilities,Internet and phone,Bank Transfer
32,2023-02-22,41.28,Dining,Restaurant meal,Credit
33,2023-02-23,34.77,Transportation,Gas refill,Debit
34,2023-02-26,77.02,Groceries,Bi-weekly grocery shopping,Debit
35,2023-03-01,1200.00,Housing,Monthly rent payment,Bank Transfer
36,2023-03-02,35.22,Transportation,Gas refill,Debit
37,2023-03-03,55.34,Dining,Restaurant meal,Credit
38,2023-03-05,14.99,Entertainment,Netflix subscription,Credit
39,2023-03-07,47.05,Dining,Restaurant meal,Credit
40,2023-03-09,40.36,Transportation,Gas refill,Debit
41,2023-03-10,9.99,Entertainment,Music streaming,Credit
42,2023-03-12,77.41,Groceries,Bi-weekly grocery shopping,Debit
43,2023-03-15,120.00,Utilities,Quarterly utility bill,Bank Transfer
44,2023-03-16,39.00,Transportation,Gas refill,Debit
45,2023-03-17,45.29,Dining,Restaurant meal,Credit
46,2023-03-20,85.50,Utilities,Internet and phone,Bank Transfer
47,2023-03-22,52.66,Dining,Restaurant meal,Credit
48,2023-03-23,99.21,Shopping,Retail purchases,Credit
49,2023-03-23,39.38,Transportation,Gas refill,Debit
50,2023-03-26,77.79,Groceries,Bi-weekly grocery shopping,Debit
51,2023-03-30,39.45,Transportation,Gas refill,Debit
52,2023-04-01,1200.00,Housing,Monthly rent payment,Bank Transfer
53,2023-04-01,601.42,Healthcare,Unexpected large expense,Credit
54,2023-04-03,38.41,Dining,Restaurant meal,Credit
55,2023-04-05,14.99,Entertainment,Netflix subscription,Credit
56,2023-04-06,30.85,Transportation,Gas refill,Debit
57,2023-04-07,43.38,Dining,Restaurant meal,Credit
58,2023-04-09,78.18,Groceries,Bi-weekly grocery shopping,Debit
59,2023-04-10,9.99,Entertainment,Music streaming,Credit
60,2023-04-12,125.00,Healthcare,Doctor visit copay,Credit
61,2023-04-13,41.01,Transportation,Gas refill,Debit
62,2023-04-15,51.83,Shopping,Retail purchases,Credit
63,2023-04-18,59.55,Dining,Restaurant meal,Credit
64,2023-04-20,85.50,Utilities,Internet and phone,Bank Transfer
65,2023-04-20,43.81,Transportation,Gas refill,Debit
66,2023-04-22,58.74,Dining,Restaurant meal,Credit
67,2023-04-23,78.57,Groceries,Bi-weekly grocery shopping,Debit
68,2023-04-27,31.01,Transportation,Gas refill,Debit
69,2023-05-01,1200.00,Housing,Monthly rent payment,Bank Transfer
70,2023-05-03,50.69,Dining,Restaurant meal,Credit
